지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원)
동해시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 스탠다드 19인치,561,244,805
동해시,강원도,현대자동차,일반승용,Electrified GV70 AWD 20인치(2025),250,124,374
동해시,강원도,현대자동차,일반승용,Electrified GV70 AWD 19인치(2025),266,132,398
동해시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,260,883
동해시,강원도,현대자동차,일반승용,아이오닉9 성능형 AWD,277,137,414
동해시,강원도,현대자동차,일반승용,아이오닉9 항속형 AWD,276,137,413
동해시,강원도,현대자동차,일반승용,아이오닉9 항속형 2WD,279,138,417
동해시,강원도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치(2025),248,123,371
동해시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치(2025),266,132,398
동해시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치(2025),277,137,414
동해시,강원도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치(2025),290,144,434
삼척시,강원도,BMW,일반승용,MINI Cooper SE,303,150,453
삼척시,강원도,BMW,일반승용,i4 eDrive40,189,93,282
삼척시,강원도,BMW,일반승용,i4 M50,172,85,257
삼척시,강원도,BMW,일반승용,iX1 xDrive30,154,76,230
삼척시,강원도,BMW,일반승용,i4 eDrive40 LCI,187,92,279
삼척시,강원도,BMW,일반승용,iX2 eDrive20,167,82,249
삼척시,강원도,BMW,일반승용,MINI Countryman SE ALL4,158,78,236
삼척시,강원도,BMW,일반승용,MINI Countryman E,166,82,248
삼척시,강원도,BMW,일반승용,MINI Aceman SE,306,151,457
삼척시,강원도,BMW,일반승용,i4 M50 LCI,177,87,264
삼척시,강원도,BMW,일반승용,MINI JCW Aceman E,151,74,225
삼척시,강원도,BMW,일반승용,MINI JCW E,147,72,219
삼척시,강원도,BMW,일반승용,MINI Aceman E,306,151,457
삼척시,강원도,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,211,668
삼척시,강원도,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,211,668
삼척시,강원도,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,211,668
삼척시,강원도,기아,일반승용,The all-new Kia Niro EV,590,247,837
삼척시,강원도,기아,일반승용,EV9 롱레인지 2WD 19인치,275,136,411
삼척시,강원도,기아,일반승용,EV9 롱레인지 2WD 20인치,273,135,408
삼척시,강원도,기아,일반승용,EV9 롱레인지 4WD 19인치,259,128,387
삼척시,강원도,기아,일반승용,EV9 롱레인지 4WD 21인치,265,131,396
삼척시,강원도,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,127,384
삼척시,강원도,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,269,886
삼척시,강원도,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,282,926
삼척시,강원도,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,283,929
삼척시,강원도,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,288,943
삼척시,강원도,기아,일반승용,EV3 롱레인지 2WD 17인치,565,280,845
삼척시,강원도,기아,일반승용,EV3 롱레인지 2WD 19인치,565,280,845
삼척시,강원도,기아,일반승용,EV3 스탠다드 2WD,479,237,716
삼척시,강원도,기아,일반승용,더뉴EV6 GT,232,115,347
삼척시,강원도,기아,일반승용,더뉴EV6 스탠다드,582,253,835
삼척시,강원도,기아,일반승용,EV9 스탠다드,242,120,362
삼척시,강원도,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,280,845
삼척시,강원도,기아,일반승용,EV4 스탠다드 2WD 19인치,491,243,734
삼척시,강원도,기아,일반승용,EV4 롱레인지 2WD 17인치,565,280,845
삼척시,강원도,기아,일반승용,EV4 롱레인지 2WD 19인치,565,280,845
삼척시,강원도,기아,일반승용,EV4 스탠다드 2WD 17인치,522,259,781
삼척시,강원도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,75,227
삼척시,강원도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,75,227
삼척시,강원도,메르세데스벤츠코리아,일반승용,EQA250(Facelift),190,94,284
삼척시,강원도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(5인승),154,76,230
삼척시,강원도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(7인승),154,76,230
삼척시,강원도,볼보자동차코리아,일반승용,볼보 EX30 Single Motor ER,247,122,369
삼척시,강원도,비와이디코리아,일반승용,BYD ATTO 3,145,72,217
삼척시,강원도,쎄보모빌리티,초소형,(단종)CEVO-C SE,200,187,387
삼척시,강원도,케이지모빌리티,일반승용,토레스 EVX 2WD 18인치,373,176,549
삼척시,강원도,케이지모빌리티,일반승용,토레스 EVX 2WD 20인치,356,168,524
삼척시,강원도,케이지모빌리티,일반승용,코란도 EV 2WD,340,168,508
삼척시,강원도,케이지모빌리티,일반승용,토레스 EVX 18인치,364,180,544
삼척시,강원도,케이지모빌리티,일반승용,토레스 EVX 20인치,354,175,529
삼척시,강원도,테슬라코리아,일반승용,(단종)Model 3 RWD(2024),183,90,273
삼척시,강원도,테슬라코리아,일반승용,Model 3 Long Range,202,100,302
삼척시,강원도,테슬라코리아,일반승용,(단종)Model Y RWD,201,83,284
