데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,서울특별시,특별시,현대자동차,일반승용,GV60 스탠다드 AWD 20인치(2025),266,26.4,292.4,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 스탠다드 AWD 19인치(2025),277,27.6,304.6,2025-07-13 20:18:16
2025,서울특별시,특별시,현대자동차,일반승용,GV60 스탠다드 2WD 19인치(2025),290,30,320,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI Cooper SE,303,208,511,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,i4 eDrive40,189,130,319,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,i4 M50,172,118,290,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,iX1 xDrive30,154,106,260,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,i4 eDrive40 LCI,187,128,315,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,iX2 eDrive20,167,147,314,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI Countryman SE ALL4,158,136,294,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI Countryman E,166,146,312,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI Aceman SE,306,211,517,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,i4 M50 LCI,177,122,299,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI JCW Aceman E,151,104,255,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI JCW E,147,101,248,2025-07-13 20:18:16
2025,가평군,경기도,BMW,일반승용,MINI Aceman E,306,211,517,2025-07-13 20:18:16
2025,가평군,경기도,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,343,800,2025-07-13 20:18:16
2025,가평군,경기도,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,343,800,2025-07-13 20:18:16
2025,가평군,경기도,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,343,800,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,The all-new Kia Niro EV,590,344,934,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV9 롱레인지 2WD 19인치,275,189,464,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV9 롱레인지 2WD 20인치,273,188,461,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV9 롱레인지 4WD 19인치,259,178,437,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV9 롱레인지 4WD 21인치,265,182,447,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,177,434,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,373,990,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,392,"1,036",2025-07-13 20:18:16
